a52dec 0.7.4-11
accountsservice 22.08.8-2
acct 6.6.4-1
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.11.0-1
alembic 1.8.3-3
alsa-card-profiles 1:0.3.59-2
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
alsa-utils 1.2.7-1
amdvlk 2022.Q4.1-1
android-sdk-platform-tools 33.0.3-1
android-tools 33.0.3-1
android-udev 20220903-1
aom 3.5.0-1
apparmor 3.1.1-1
archlinux-keyring 20220927-1
argon2 20190702-4
arpack 3.8.0-3
asciiquarium 1.1-6
assimp 5.2.5-2
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attr 2.5.1-2
audacity 1:3.2.1-2
audiofile 0.3.6-7
audit 3.0.8-1
autoconf 2.71-1
autoconf-archive 1:2022.09.03-1
autofirma 1.7.2-1
automake 1.16.5-1
autorandr 1.12.1-2
avahi 0.8+22+gfd482a7-3
awesome 4.3-3
awesome-terminal-fonts 1.1.0-4
base 3-1
bash 5.1.016-1
bat 0.22.1-1
bc 1.07.1-4
bcg729 1.1.1-1
biber 1:2.17-2
bind 9.18.8-1
binutils 2.39-3
bison 3.8.2-4
blas 3.10.1-1
blender 17:3.3.1-3
blosc 1.21.1-2
blueman 2.3.2-1
bluez 5.65-3
bluez-libs 5.65-3
bluez-utils 5.65-3
boost 1.80.0-3
boost-libs 1.80.0-3
bottom 0.6.8-1
box2d 2.4.1-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-8
bspwm 0.9.10-2
btop 1.2.12-1
btrfs-progs 6.0-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.84-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-6
cava 0.8.2-5
cblas 3.10.1-1
cbonsai 1.3.1-3
cdparanoia 10.2-8
celt 0.11.3-5
certbot 1.31.0-1
cfitsio 1:4.1.0-1
chromaprint 1.5.1-4
chromium 106.0.5249.119-2
cifs-utils 7.0-1
clang 14.0.6-3
clingo 5.6.1-1
clucene 2.3.3.4-12
cmake 3.24.2-1
cmatrix 2.0-2
cmus 2.10.0-3
compiler-rt 14.0.6-1
confuse 3.3-3
containerd 1.6.8-1
coreutils 9.1-1
cowfortune 0.1.2-7
cowsay 3.04-2
cpupower 6.0-1
cracklib 2.9.8-1
cronie 1.6.1-1
crypto++ 8.7.0-1
cryptsetup 2.5.0-1
curl 7.85.0-2
cython 0.29.32-2
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.4-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
debuginfod 0.187-2
deepin-desktop-base 2:2022.07.26-2
deepin-image-editor 1.0.21-1
deepin-image-viewer 5.9.3-2
deepin-qt-dbus-factory 5.5.22-5
deepin-qt5integration 5.5.24-1
deepin-qt5platform-plugins 5.0.67-1
deepin-wayland 1.0.0-1
deno 1.26.2-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-2
dia 0.97.3-9
diffutils 3.8-1
discord 0.0.21-1
discount 2.2.7.b-1
dmenu 5.2-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
docker 1:20.10.20-1
docker-compose 2.12.2-1
dosfstools 4.2-2
double-conversion 3.2.1-1
downgrade 11.2.1-1
draco 1.5.3-1
dtkcommon 5.5.23-1
dtkcore 1:5.6.2-1
dtkgui 1:5.6.0.2-1
dtkwidget 5.6.0.2-2
duktape 2.7.0-4
dunst 1.9.0-1
e2fsprogs 1.46.5-4
edex-ui-bin 2.2.8-1
efibootmgr 18-1
efivar 38-2
electron12 12.2.3-4
electron13 13.6.9-3
electron17 17.4.11-3
electron18 18.3.9-3
elfutils 0.187-2
elixir 1.14.0-1
embree 3.13.5-1
enchant 2.3.3-2
erlang-nox 25.1.1-1
ethtool 1:6.0-1
ettercap 0.8.3.1-1
evillimiter 1.5.0-2
exercism 3.0.13-1
exiv2 0.27.5-3
exo 4.16.4-1
expat 2.4.9-1
faad2 2.10.1-1
fakeroot 1.29-1
feh 3.9.1-2
ffcall 2.4-2
ffmpeg 2:5.1.2-1
ffmpeg4.4 4.4.2-3
ffmpegthumbnailer 2.2.2-4
fftw 3.3.10-3
file 5.43-1
filesystem 2022.10.18-1
findutils 4.9.0-1
firefox 106.0.1-1
firejail 0.9.70-4
flac 1.4.2-1
flameshot 12.1.0-1
flex 2.6.4-3
fluidsynth 2.3.0-2
fmt 9.1.0-1
font-manager 0.8.8-1
fontconfig 2:2.14.1-2
fortune-mod 3.14.1-1
freeglut 3.4.0-1
freeimage 3.18.0-15
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.12.0-1
fuse2 2.9.9-4
fzf 0.34.0-1
gawk 5.2.0-3
gc 8.2.2-1
gcc 12.2.0-1
gcc-libs 12.2.0-1
gcr 3.41.1-2
gd 2.3.3-4
gdal 3.5.1-5
gdb 12.1-1
gdb-common 12.1-1
gdbm 1.23-1
gdk-pixbuf2 2.42.9-1
geoip 1.6.12-2
geoip-database 20221018-1
geos 3.11.0-1
gettext 0.21.1-1
ghostscript 10.0.0-1
giflib 5.2.1-2
gio-qt 0.0.11-1
girara 0.3.7-1
git 2.38.1-1
git-lfs 3.2.0-1
github-cli 2.18.1-1
gitkraken 8.10.0-1
gl2ps 1.4.2-2
glew 2.2.0-5
glib-networking 1:2.74.0-1
glib2 2.74.0-2
glibc 2.36-6
glibmm 2.66.5-1
glpk 5.0-1
glslang 11.11.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-backgrounds 42.0-1
gnome-icon-theme 3.12.0-7
gnome-icon-theme-symbolic 3.12.0-6
gnome-keyring 1:42.1-1
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-8
gnupg 2.2.40-1
gnuplot 5.4.5-1
gnutls 3.7.8-1
go 2:1.19.2-1
gobject-introspection-runtime 1.74.0-1
google-earth-pro 7.3.4.8738-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphicsmagick 1.3.38-5
graphite 1:1.3.14-2
graphviz 6.0.2-1
grep 3.8-2
groff 1.22.4-7
grub 2:2.06.r334.g340377470-1
gsettings-desktop-schemas 42.0-1
gsettings-qt 0.2-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.22-1
gspell 1.12.0-2
gst-plugins-base 1.20.4-1
gst-plugins-base-libs 1.20.4-1
gstreamer 1.20.4-1
gtest 1.12.1-1
gtk-update-icon-cache 1:4.8.2-1
gtk2 2.24.33-2
gtk3 1:3.24.34+r156+g812b3930d0-1
gtkmm3 3.24.7-1
gts 0.7.6.121130-2
guile 2.2.7-2
gzip 1.12-1
harfbuzz 5.3.1-3
harfbuzz-icu 5.3.1-3
hdf5 1.12.2-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
hping 3.0.0-5
htop 3.2.1-1
http-parser 2.9.4-1
hunspell 1.7.1-1
hwdata 0.363-1
hwloc 2.8.0-1
hyperfine 1.15.0-1
hyphen 2.8.8-4
i3-wm 4.21.1-1
i3lock-color 2.13.c.4-1
iana-etc 20220915-1
icu 72.1-1
iftop 1.0pre4-5
ijs 0.35-4
imagemagick 7.1.0.51-1
imath 3.1.5-3
imgur-uploader-git r36.3e029bf-1
imlib2 1.9.1-2
inetutils 2.3-1
iniparser 4.1-4
inkscape 1.2.1-8
iproute2 6.0.0-1
iptables 1:1.8.8-2
iputils 20211215-1
iso-codes 4.11.0-2
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.6-1
java-runtime-common 3-3
jbig2dec 0.19-1
jemalloc 1:5.3.0-1
jq 1.6-4
jre-openjdk 19.0.1.u10-2
jre-openjdk-headless 19.0.1.u10-2
jre11-openjdk 11.0.17.u1-1
jre11-openjdk-headless 11.0.17.u1-1
js78 78.15.0-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
julia-bin 1.8.2-1
jxrlib 0.2.4-1
kbd 2.5.1-1
keyutils 1.6.3-1
kguiaddons 5.99.0-2
kitty 0.26.4-1
kitty-shell-integration 0.26.4-1
kitty-terminfo 0.26.4-1
kmod 30-1
kodi 19.4-5
krb5 1.20-1
kwayland 5.99.0-1
l-smash 2.14.5-2
lame 3.100-4
lapack 3.10.1-1
latex-mk 2.1-4
lbzip2 2.5-5
lcms2 2.13.1-1
ldb 2:2.6.1-1
ldns 1.8.3-1
less 1:608-1
lib2geom 1.2-2
libabw 0.1.3-3
libaec 1.0.6-1
libaio 0.3.113-1
libao 1.2.2-5
libarchive 3.6.1-2
libass 0.16.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-1
libatasmart 0.19-5
libatomic_ops 7.6.14-1
libavc1394 0.5.4-4
libavif 0.10.1-2
libb2 0.98.1-2
